Course,CRN,Division,Availability,CourseTitle,Activity,Hours,Days,Time,Teacher
0901-204,70354,31,غير متاحة,البرمجة الهندسية,نظري,3,  ث    ,0730 - 1000, 
0901-204,70358,61,ممتلئة,البرمجة الهندسية,نظري,3,ح      ,0730 - 1000,إسراء  العقيلي
0901-204,70352,30,ممتلئة,البرمجة الهندسية,نظري,3,  ث    ,1200 - 1430,عايشة  المغلوث
0901-204,70362,63,متاحة,البرمجة الهندسية,نظري,3,  ث    ,0730 - 1000,إسراء  العقيلي
0901-204,70356,32,ممتلئة,البرمجة الهندسية,نظري,3,  ث    ,1200 - 1430,إسراء  العقيلي
0901-204,70360,62,ممتلئة,البرمجة الهندسية,نظري,3,ح      ,1030 - 1300,وفاء علي مصلح
0901-101,78730,64,غير متاحة,مقدمة علم الحاسب,نظري,3,ح   ر   ,0900 - 1015, 
0911-411,43187,61,ممتلئة,الذكاء الاصطناعي,نظري,3,    خ  ,1430 - 1545, 
0911-421,79384,61,غير متاحة,موضوعات مختارة في علوم الحاسب,نظري,3,  ث    ,1600 - 1715, 
0911-410,48910,61,غير متاحة,مقترح مشروع,نظري,2, ن     ,2200 - 2250, 
0911-420,48927,61,غير متاحة,تنفيذ مشروع,نظري,3, ن     ,2200 - 2250, 
0911-411,52954,81,ممتلئة,الذكاء الاصطناعي,عملي,0, ن     ,1235 - 1415, 
0911-320,64995,61,غير متاحة,سرية وحماية بيانات الحاسب,نظري,3,    خ  ,0730 - 0845, 
0911-320,64995,61,غير متاحة,سرية وحماية بيانات الحاسب,نظري,3,ح      ,0730 - 0845, 
0911-320,70364,62,غير متاحة,سرية وحماية بيانات الحاسب,نظري,3, ن  ر   ,0730 - 0845, 
0911-411,70793,62,غير متاحة,الذكاء الاصطناعي,نظري,3,ح  ث    ,1430 - 1545, 
0911-411,70796,82,غير متاحة,الذكاء الاصطناعي,عملي,0,    خ  ,1235 - 1415, 
0911-414,79034,61,غير متاحة,النمذجة والمحاكاةبالحاسب الآلي,نظري,3,    خ  ,0900 - 1015, 
0911-414,79034,61,غير متاحة,النمذجة والمحاكاةبالحاسب الآلي,نظري,3,ح      ,0900 - 1015, 
0911-414,79035,81,غير متاحة,النمذجة والمحاكاةبالحاسب الآلي,عملي,0,    خ  ,1600 - 1740, 
0911-330,79315,61,ممتلئة,التدريب ( التعاوني) العملي,نظري,3,    خ  ,0830 - 1000, 
0911-421,79384,61,غير متاحة,موضوعات مختارة في علوم الحاسب,نظري,3,ح      ,1600 - 1715, 
0911-411,43187,61,ممتلئة,الذكاء الاصطناعي,نظري,3,  ث    ,1300 - 1415, 
0921-110,53432,62,متاحة,مقدمة علم الحاسب,نظري,4,  ث    ,1300 - 1415,عبير عبدالله عامر الشهري
0921-110,53432,62,متاحة,مقدمة علم الحاسب,نظري,4,    خ  ,1430 - 1545,عبير عبدالله عامر الشهري
0921-110,53481,82,متاحة,مقدمة علم الحاسب,عملي,0,  ث    ,1419 - 1559,شريفه احمد عبدالعزيز العامر
0921-210,55235,61,غير متاحة,البرمجة كائنية التوجه (1),نظري,4,  ث    ,0900 - 1015,روابي عبدالعزيز عبدالله السديس
0921-210,55235,61,غير متاحة,البرمجة كائنية التوجه (1),نظري,4,   ر   ,1030 - 1145,روابي عبدالعزيز عبدالله السديس
0921-210,55236,62,ممتلئة,البرمجة كائنية التوجه (1),نظري,4,ح    خ  ,0730 - 0845,روابي عبدالعزيز عبدالله السديس
0921-210,55242,81,غير متاحة,البرمجة كائنية التوجه (1),عملي,0,ح      ,1419 - 1559,سائره شيخ علي
0921-210,55243,82,ممتلئة,البرمجة كائنية التوجه (1),عملي,0,    خ  ,1419 - 1559,سائره شيخ علي
0921-211,55249,61,غير متاحة,هيكلة البيانات والخوارزميات,نظري,4,ح    خ  ,1300 - 1415,وفاء علي مصلح
0921-211,55250,62,متاحة,هيكلة البيانات والخوارزميات,نظري,4, ن  ر   ,0900 - 1015,منى عبدالباسط علي
0921-211,55251,63,غير متاحة,هيكلة البيانات والخوارزميات,نظري,4,ح    خ  ,0900 - 1015, 
0921-211,55252,64,غير متاحة,هيكلة البيانات والخوارزميات,نظري,4, ن  ر   ,0730 - 0845, 
0921-211,55256,81,غير متاحة,هيكلة البيانات والخوارزميات,عملي,0, ن     ,1419 - 1559,وفاء علي مصلح
0921-211,55257,82,متاحة,هيكلة البيانات والخوارزميات,عملي,0,   ر   ,1419 - 1559,ليلى احمد العبابنه
0921-211,55258,83,غير متاحة,هيكلة البيانات والخوارزميات,عملي,0,  ث    ,1419 - 1559, 
0921-211,55259,84,غير متاحة,هيكلة البيانات والخوارزميات,عملي,0, ن     ,1235 - 1415, 
0921-212,55263,61,متاحة,الجبر الخطي,نظري,3,ح    خ  ,1030 - 1145,اسرار  الحق
0921-212,55264,62,غير متاحة,الجبر الخطي,نظري,3,ح    خ  ,1300 - 1415, 
0921-220,58069,61,متاحة,اساسيات هندسة البرمجيات,نظري,4, ن  ر   ,0730 - 0845,شارميلا  شيخ امام
0921-220,58071,81,متاحة,اساسيات هندسة البرمجيات,عملي,0,   ر   ,1419 - 1559,فاطمة  راجينا
0921-221,58072,61,ممتلئة,نظريات اللغات والاتمتةالمحدودة,نظري,3,ح    خ  ,1030 - 1145,عايشة  المغلوث
0921-314,58101,61,ممتلئة,اساسيات برمجة الويب,نظري,4,ح  ث    ,1430 - 1545,هديل  الزعبي
0921-314,58115,81,ممتلئة,اساسيات برمجة الويب,عملي,0,ح      ,1235 - 1415,هديل  الزعبي
0921-324,63610,61,ممتلئة,الذكاء الاصطناعي,نظري,4,  ث    ,1300 - 1415,روابي عبدالعزيز عبدالله السديس
0921-324,63610,61,ممتلئة,الذكاء الاصطناعي,نظري,4,    خ  ,1430 - 1545,روابي عبدالعزيز عبدالله السديس
0921-324,63613,81,ممتلئة,الذكاء الاصطناعي,عملي,0, ن     ,1235 - 1415,منيرة فرحان الهاجري
